,Unnamed: 0.1,name,province,climate_id,station_id,wmo_id,tc_id,latitude_decimal_degrees,longitude_decimal_degrees,latitude,longitude,elevation_m,start_date,end_date,h_rain_nan,T_low_nan,date_nan,h_snow_nan,T_high_nan,h_all_precip_nan,T_high_avg_nan,T_min_nan,T_low_avg_nan,T_max_nan,period_T_low_nan,period_T_high_nan,T_min_year_nan,day_nan,T_max_year_nan,month_nan,alm_stn_id,alm_stn_dist,norm_stn_id,norm_stn_dist
1397,1397,GREENWOOD A,NOVA SCOTIA,8202000,6354,71397.0,YZX,44.98,-64.92,445900000.0,-645500000.0,28.0,1942.0,2015.0,68.0,66.0,0.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6354.0,0.0,6354.0,0.0
1400,1400,HALIFAX INTL A,NOVA SCOTIA,8202251,50620,71395.0,YHZ,44.88,-63.51,445252000.0,-633031000.0,145.4,2012.0,2015.0,115.0,65.0,0.0,71.0,65.0,113.0,365.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6358.0,0.7901124228625496,6358.0,0.7901124228625496
1403,1403,HART ISLAND (AUT),NOVA SCOTIA,8202318,7173,71419.0,WRN,45.35,-60.98,452100000.0,-605900000.0,8.2,1993.0,2015.0,730.0,67.0,0.0,730.0,70.0,730.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6336.0,21.329493021675074,6336.0,21.329493021675074
1404,1404,INGONISH BEACH RCS,NOVA SCOTIA,8202502,30326,71027.0,XIB,46.66,-60.41,463946001.0,-602423000.0,10.0,2000.0,2015.0,730.0,81.0,0.0,730.0,85.0,108.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6368.0,1.3496840386693352,6368.0,1.3496840386693352
1405,1405,KEJIMKUJIK 1,NOVA SCOTIA,8202592,6923,71599.0,WKG,44.4,-65.2,442411020.0,-651211070.0,125.0,1993.0,2015.0,730.0,82.0,0.0,730.0,94.0,251.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6372.0,3.3336104101344417,6372.0,3.3336104101344417
1406,1406,KENTVILLE CDA CS,NOVA SCOTIA,8202810,27141,71671.0,XKT,45.07,-64.48,450400000.0,-642900000.0,48.7,1996.0,2015.0,730.0,67.0,0.0,730.0,70.0,86.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6375.0,0.0,6375.0,0.0
1407,1407,LAKE MAJOR,NOVA SCOTIA,8202896,27742,,,44.72,-63.48,444300000.0,-632900000.0,62.5,1999.0,2015.0,226.0,226.0,0.0,226.0,226.0,226.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6503.0,5.459768718100664,6503.0,5.459768718100665
1409,1409,LYONS BROOK,NOVA SCOTIA,8203230,6393,,,45.66,-62.8,453930001.0,-624748009.0,28.9,1984.0,2015.0,217.0,255.0,0.0,214.0,246.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6393.0,0.0,6393.0,0.0
1412,1412,NAPPAN AUTO,NOVA SCOTIA,8203702,42083,71311.0,XNP,45.76,-64.24,454534400.0,-641429200.0,19.8,2003.0,2015.0,730.0,67.0,0.0,730.0,71.0,84.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6414.0,1.3566491591211645,6414.0,1.3566491591211645
1414,1414,NORTH MOUNTAIN CS,NOVA SCOTIA,8204161,27592,71604.0,XNM,46.82,-60.67,464901000.0,-604020000.0,439.4,1998.0,2015.0,730.0,730.0,0.0,730.0,730.0,152.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6434.0,7.631104209755585,6368.0,27.982156377010945
1416,1416,UPPER STEWIACKE RCS,NOVA SCOTIA,8204193,44363,71753.0,AOH,45.23,-63.06,451359000.0,-630319000.0,23.5,2005.0,2015.0,730.0,95.0,0.0,730.0,104.0,111.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6495.0,4.841538877260223,6495.0,4.841538877260223
1417,1417,PARRSBORO,NOVA SCOTIA,8204402,43183,71493.0,APR,45.41,-64.35,452448000.0,-642049000.0,30.89,2004.0,2015.0,730.0,66.0,0.0,730.0,71.0,80.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6428.0,1.9201288190921963,6428.0,1.9201288190921963
